!!!!------ Server Start ------!!!,	OnLoad,	C:\Users\USER\source\repos\SP_Server\SP_Server\Frm.cs (55),	2018-03-14 오후 4:32:09
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\USER\source\repos\SP_Server\SP_Server\Frm.cs (115),	2018-03-14 오후 4:32:15
[table Num : -1] protocol id LOGIN_REQ,	FreeNet.IPeer.on_message,	C:\Users\USER\source\repos\SP_Server\SP_Server\User.cs (56),	2018-03-14 오후 4:32:15
[table Num : -1] protocol id BEGIN,	SP_Server.UserState.IUserState.on_message,	C:\Users\USER\source\repos\SP_Server\SP_Server\UserState\UserLobbyState.cs (69),	2018-03-14 오후 4:32:15
[table Num : -1] client Disconnected!!,	on_message,	C:\Users\USER\source\repos\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-03-14 오후 4:33:53
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\Users\USER\source\repos\SP_Server\SP_Server\Frm.cs (115),	2018-03-14 오후 4:34:04
[table Num : -1] protocol id LOGIN_REQ,	FreeNet.IPeer.on_message,	C:\Users\USER\source\repos\SP_Server\SP_Server\User.cs (56),	2018-03-14 오후 4:34:04
[table Num : -1] protocol id BEGIN,	SP_Server.UserState.IUserState.on_message,	C:\Users\USER\source\repos\SP_Server\SP_Server\UserState\UserLobbyState.cs (69),	2018-03-14 오후 4:34:04
!!!!------ Server Closing ------!!!,	frmClosing,	C:\Users\USER\source\repos\SP_Server\SP_Server\Frm.cs (197),	2018-03-14 오후 4:34:31
