!!!!------ Server Start ------!!!,	OnLoad,	C:\SP\Tokyolong\SP_Server\SP_Server\Frm.cs (57),	2018-06-21 오전 2:14:10
[table Num : 1] protocol id ORDER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:42:46
[table Num : 1] protocol id ORDER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:42:46
[table Num : 1] protocol id ORDER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:42:51
[table Num : 1] protocol id ORDER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:42:51
[table Num : 1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-21 오전 2:43:15
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\SP\Tokyolong\SP_Server\SP_Server\Frm.cs (116),	2018-06-21 오전 2:43:35
[table Num : -1] protocol id LOGIN_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:43:37
[table Num : 1] protocol id LOGIN_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:43:37
[table Num : 1] protocol id ENTER_CUSTOMER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:43:45
[table Num : 1] protocol id ENTER_CUSTOMER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:43:45
[table Num : 1] protocol id ORDER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:43:53
[table Num : 1] protocol id ORDER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:43:53
[table Num : 1] protocol id ORDER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:43:59
[table Num : 1] protocol id ORDER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:43:59
[table Num : 1] protocol id ORDER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:44:07
[table Num : 1] protocol id ORDER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:44:07
[table Num : 1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-21 오전 2:44:22
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\SP\Tokyolong\SP_Server\SP_Server\Frm.cs (116),	2018-06-21 오전 2:44:40
[table Num : -1] protocol id LOGIN_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:44:42
[table Num : 1] protocol id LOGIN_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:44:42
[table Num : 1] protocol id ENTER_CUSTOMER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:44:50
[table Num : 1] protocol id ENTER_CUSTOMER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:44:50
[table Num : 1] protocol id ORDER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:45:00
[table Num : 1] protocol id ORDER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:45:00
[table Num : 1] protocol id ORDER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:45:06
[table Num : 1] protocol id ORDER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:45:06
[table Num : 1] protocol id ORDER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:45:12
[table Num : 1] protocol id ORDER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:45:12
[table Num : 1] protocol id ORDER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:45:18
